Salon Name,Address,Closing Time,First Contact
Be Different Hairstyle,"Via Beltramina 8, 6900 Lugano"," Open
 – Closes today at 9:00 PM",N/A
Team Laura Compagnia Della Bellezza Parrucchieri,"Via Cattedrale 4, 6900 Lugano"," Open
 – Closes in an hour",N/A
MAGAMO Beauty Lab,"Corso Pestalozzi 3, 6900 Lugano"," Open
 – Closes in 2 hours",N/A
Boudoir Sagl,"Via Geretta 11, 6900 Paradiso"," Open
 – Closes in 2 hours",N/A
Hairstyling Nora,"Via Giovanni Maraini 2, 6963 Pregassona"," Open
 – Closes in an hour",N/A
FRANCOIFFEUR,"Via Pessina 9, 6900 Lugano"," Open
 – Closes in an hour",N/A
RIXOS BARBER SHOP,"Via Carlo Maderno 24, 6900 Lugano"," Open
 – Closes in 2 hours",N/A
Salone Metamorphosis,"Via Carlo Frasca 10, 6900 Lugano"," Open by appointment
 – Closes in an hour",N/A
Salone by Franco,"Via Luigi Taddei 1, 6962 Viganello"," Open
 – Closes in an hour",N/A
Gio il Parrucchiere Sagl,"Via Giuseppe Motta 1, 6900 Lugano",,N/A
La ColorHouse Hair Salon,"Via la Santa 17, 6962 Viganello"," Open
 – Closes in an hour",N/A
Walter Hair Design - Salone Walter SA,"Via Serafino Balestra 4, 6900 Lugano"," Open
 – Closes today at 8:00 PM",N/A
SALONE MANUELA,"Via Carlo Frasca 1, 6900 Lugano"," Open by appointment
 – Closes in an hour",N/A
Sungates & Elixir - Extension Lugano,"Via Orti 8, 6900 Lugano"," Open
 – Closes today at 9:00 PM",N/A
Salone On Hair,"Via alla Roggia 9, 6962 Viganello"," Open
 – Closes in 2 hours",N/A
Mauri Concept,"Via Gerolamo Vegezzi 4, 6900 Lugano"," Open
 – Closes today at 9:00 PM",N/A
Etrebel Lugano - Acconciatura Estetica avanzata,"Piazza Alighieri Dante 8, 6900 Lugano"," Open
 – Closes in 2 hours",N/A
Gambino Barber Shop,"Via Giovan Battista Pioda 8, 6900 Lugano"," Open
 – Closes in an hour",N/A
Salone Liliana,"Via Rinaldo Simen 8, 6900 Lugano"," Open by appointment
 – Closes in 2 hours",N/A
Coiffure Chez Chiara,"Via alla Bozzoreda 37, 6963 Pregassona",,N/A
Aldo Coppola,"Via Nassa 46, 6900 Lugano"," Open
 – Closes in an hour",N/A
Barbara c/o Salone Giusi,"Via Giacomo Mercoli 5, 6900 Lugano"," Open
 – Closes in an hour",N/A
Beauty Hair,"Via Giuseppe Lepori 19, 6900 Massagno",,N/A
Cris Coiffure Lugano,"Via Nassa 40, 6900 Lugano"," Open
 – Closes in an hour",N/A
Salone Mod.Art di Regazzoni Roberta,"Via Besso 72, 6900 Massagno"," Open by appointment
 – Closes in an hour",N/A
Salone Okay,"Via Dott. G. Polar 38, 6932 Breganzona"," Open
 – Closes in 2 hours",N/A
Extension Hair Sagl,"Salita Viarno 13, 6963 Pregassona",,N/A
Specchio delle mie brame acconciature snc,"Via Zorzi 6, 6900 Paradiso",,N/A
10.0 DIECIPUNTOZERO,"Piazza Dell'Indipendenza 11, 6900 Lugano"," Open
 – Closes in 2 hours",N/A
22 Shops Sagl,"Riva Paradiso 16, 6900 Paradiso"," Open
 – Closes in an hour",N/A
Bali Beauty Concept di Jasmine Sinay e La Barberia di Fabio Attampato,"Via Ceresio 9, 6963 Pregassona"," Open
 – Closes today at 8:00 PM",N/A
Betty's Coiffure,"Via delle Scuole 15, 6900 Paradiso",,N/A
Bryan Pasini Hair Illusionist,"Viale Carlo Cattaneo 17, 6900 Lugano"," Open
 – Closes today at 9:00 PM",N/A
Davide Style,"Via la Santa 17, 6962 Viganello"," Open
 – Closes in an hour",N/A
Francesco,"Via Nassa 32, 6900 Lugano"," Open
 – Closes in an hour",N/A
MISTRETTA Coiffure,"Riva Paradiso 2, 6900 Paradiso"," Open
 – Closes today at 9:00 PM",N/A
Pathos Hair Lugano,"Via al Chioso 28, 6900 Lugano"," Open
 – Closes in an hour",N/A
Style Me di Bottoni Paola,"Via Henri Dunant 3, 6900 Massagno"," Open by appointment
 – Closes today at 9:00 PM",N/A
S&M Supermodel's di M. Pipicella,"Via Cortivallo 22, 6900 Lugano",,N/A
Esco Shop SA,"Via Vignola 4, 6900 Lugano"," Open
 – Closes in an hour",N/A
Nuova Chioma SA,"Via la Santa 20, 6962 Viganello"," Open
 – Closes in an hour",N/A
Dhalia Beauty Center,"Via Pasquale Lucchini 6, 6900 Lugano"," Open
 – Closes in 2 hours",N/A
Acconciature,"Via Pazzalino 17, 6962 Viganello",,N/A
All Fashion,"Via S. Carlo 7, 6932 Breganzona"," Open
 – Closes in an hour",N/A
Artemide,"Via Maggio 53, 6900 Lugano"," Open
 – Closes in an hour",N/A
Beauty Hair,"Via Pietro Capelli 2, 6962 Viganello"," Closed
 – Opens tomorrow at 9:00 AM",N/A
Caprice,"Via San Gottardo 71, 6900 Massagno"," Open
 – Closes in an hour",N/A
Creative Uomo,"Piazza San Rocco 2, 6900 Lugano"," Open
 – Closes in an hour",N/A
Da Lia Coiffure,"Via Clemente Maraini 18, 6900 Lugano"," Open
 – Closes in an hour",N/A
Danilo Hairstyling,"Via Giulio Vicari 6, 6900 Lugano"," Open
 – Closes in an hour",N/A
Dark Lady Coiffure,"Via Calprino 16, 6900 Paradiso",,N/A
Di Bonaventura Marco,"Via G. e F. Ciani 12, 6900 Lugano"," Open
 – Closes in an hour",N/A
Elis salone unisex,"Via Dott. G. Polar 49, 6932 Breganzona"," Open
 – Closes in an hour",N/A
Felice Michele,"Viale Stefano Franscini 27, 6900 Lugano",,N/A
Franco,"Quartiere Maghetti 10, 6900 Lugano",,N/A
Giorgio,"Via Monte Boglia 1A, 6900 Lugano",,N/A
Hair L' Essenza,"Via Serafino Balestra 9, 6900 Lugano"," Open by appointment
 – Closes today at 9:00 PM",N/A
Jean Claude Biguine,"Via Serafino Balestra 14, 6900 Lugano"," Open
 – Closes today at 8:00 PM",N/A
L'appart Coiffure,"Viale Stefano Franscini 1, 6900 Lugano"," Open
 – Closes in an hour",N/A
Malva,"Via San Salvatore 2, 6900 Paradiso"," Open
 – Closes in an hour",N/A
MyDa,"Via Trevano 72, 6900 Lugano"," Open
 – Closes today at 9:00 PM",N/A
Nadi Hair Style,"Via alle Fontane 2, 6963 Pregassona",,N/A
Papillon,"Via Loco 8, 6963 Pregassona"," Open
 – Closes in an hour",N/A
Prima Linea,"Via Luigi Taddei 15, 6962 Viganello",,N/A
Salon Soleil,"Via Bernardino Stazio 8B, 6900 Massagno",,N/A
SALONE CONTICELLO,"Viale dei Faggi 9, 6900 Lugano"," Open
 – Closes in an hour",N/A
Salone d'Arte Coiffure,"Via S. Carlo 3, 6932 Breganzona",,N/A
Salone Domino,"Via Coremmo 1, 6900 Lugano",,N/A
Salone Giusy,"Via Giacomo Mercoli 5, 6900 Lugano",,N/A
Salone Jasmine,"Via Avv. B. Leoni 6, 6932 Breganzona"," Open
 – Closes in an hour",N/A
Salone Mauro,"Via Alla Bozzoreda 43, 6963 Pregassona"," Open
 – Closes in an hour",N/A
Salone Perchè No,"Via Boschina 7, 6963 Pregassona"," Open
 – Closes in an hour",N/A
Salone Yes,"Via Pessina 7, 6900 Lugano",,N/A
Studio Mary,"Corso Elvezia 24, 6900 Lugano",,N/A
Un diavolo per capello,"Via Pretorio 15, 6900 Lugano",,N/A
Verve,"Via Giuseppe Motta 1, 6900 Lugano"," Open
 – Closes in an hour",N/A
Black and White,"Via Vittorino Vella 2, 6900 Lugano",,N/A
M&A My Style Sagl,"Via Berna 15, 6900 Lugano",,N/A
my Clinic Sagl,"Via al Fiume 7, 6962 Viganello",,N/A
ABOUT MEN,"Via alla Bozzoreda 44, 6963 Pregassona"," Open
 – Closes in an hour",N/A
Angelo Mauri,"Via Gerolamo Vegezzi 4, 6900 Lugano"," Open
 – Closes in an hour",N/A
Angje,"Via Luigi Lavizzari 7, 6900 Lugano",,N/A
Atelier Symphony,"Via Giacomo Luvini 7, 6900 Lugano"," Open
 – Closes in an hour",N/A
Azar Coiffure Lei e Lui,"Via Trevano 59, 6900 Lugano",,N/A
Bolle Blu,"Via Massagno 20, 6900 Lugano"," Open
 – Closes in an hour",N/A
Cardamone Davide,"Corso Elvezia 3, 6900 Lugano",,N/A
Coiffeur La Fenice,"Via Clemente Maraini 31, 6900 Lugano"," Open
 – Closes in 27 minutes",N/A
Coiffure Artistic,"Via Trevano 24, 6900 Lugano"," Open
 – Closes today at 9:00 PM",N/A
Coiffure Designe,"Via Giulio Vicari, 6900 Lugano"," Open
 – Closes in an hour",N/A
Cosmopolitan Coiffeur A Revolution in Hairstyling Lugano,"Corso Pestalozzi 4, 6900 Lugano"," Open
 – Closes in an hour",N/A
Creativa,"Via Romeo Manzoni 6, 6900 Lugano",,N/A
Dario Novelli Coiffeur,"Via Giovanni Nizzola 2, 6900 Lugano"," Open
 – Closes today at 9:00 PM",N/A
David Hair Organic,"Via Guglielmo Marconi 2, 6900 Lugano"," Open
 – Closes in an hour",N/A
ELYSEE COIFFURE,"Via Monte Boglia 5, 6900 Lugano",,N/A
Equipe Ornella,"Viale Giuseppe Cattori 9, 6900 Paradiso"," Open
 – Closes in an hour",N/A
Glue by Hely,"Viale Stefano Franscini 23, 6900 Lugano"," Open
 – Closes in an hour",N/A
Hair Studio Idea Donna,"Viale Cassone 7, 6963 Pregassona"," Closed
 – Opens tomorrow at 9:00 AM",N/A
Hair Team 3,"Piazza Cioccaro 12, 6900 Lugano",,N/A
Ivana Salone SA,"Via Trevano 11, 6900 Lugano",,N/A
Karma of beauty,"Riva Antonio Caccia 1, 6900 Lugano",,N/A
Lakshmi hairstyling,"Riva Antonio Caccia 3, 6900 Lugano"," Open by appointment
 – Closes in an hour",N/A
Linea R Coiffure,"Via del Tiglio 33, 6900 Lugano"," Open
 – Closes in an hour",N/A
Luisella Hair Studio,"Via Tesserete 7, 6900 Massagno"," Open
 – Closes in an hour",N/A
Mary,"Via Mons. Angelo Jelmini 5A, 6900 Lugano",,N/A
Massimo,"Via Ernesto Bosia 17, 6900 Paradiso"," Open
 – Closes in an hour",N/A
Matt's Barber Shop,"Via Pretorio 19, 6900 Lugano"," Open
 – Closes in an hour",N/A
Mauri James,"Via Gerolamo Vegezzi 4, 6900 Lugano"," Open
 – Closes in 2 hours",N/A
my space by Elisa,"Via Ernesto Bosia 11, 6900 Paradiso"," Open
 – Closes in 27 minutes",N/A
Old Style,"Corso Elvezia 7, 6900 Lugano"," Open
 – Closes in an hour",N/A
Oliveira Ines Rozania,"Via Zorzi 6, 6900 Paradiso"," Open
 – Closes in an hour",N/A
Orchidea,"Via San Gottardo 74, 6900 Massagno"," Open
 – Closes in an hour",N/A
Park Line,"Riva Antonio Caccia 1, 6900 Lugano",,N/A
PRIMACLASSE,"Via Pietro Peri 6, 6900 Lugano",,N/A
Pura Bellezza,"Via la Santa 17, 6962 Viganello",,N/A
Salone Alessia,"Via Trevano 71, 6900 Lugano"," Open
 – Closes in an hour",N/A
Salone Belli e Ribelli Sagl,"Viale Giuseppe Cattori 5A, 6900 Paradiso",,N/A
Salone Lorenzo,"Via al Forte 2, 6900 Lugano",,N/A
Salone Marlene,"Corso Pestalozzi 25, 6900 Lugano",,N/A
Salone Naiade,"Viale Castagnola 21E, 6900 Lugano"," Open
 – Closes in an hour",N/A
Salone Ova,"Via Lisano 2, 6900 Massagno",,N/A
Salone Pink,"Viale Castagnola 21a, 6900 Lugano"," Open
 – Closes in 56 minutes",N/A
Salone Silvana,"Via Ginevra 5, 6900 Lugano"," Open
 – Closes in an hour",N/A
Salone Smeraldo,"Salita M. e A. Chiattone 7, 6900 Lugano"," Open
 – Closes in an hour",N/A
Salone Trend,"Via Emilio Bossi 1, 6900 Lugano"," Open
 – Closes in 56 minutes",N/A
Salone Veriza,"Via Trevano 2, 6900 Lugano",,N/A
SaloneTerry Sagl,"Via Industria 20, 6963 Pregassona",,N/A
Salvatore,"Riva Paradiso 4, 6900 Paradiso",,N/A
Spina Carmelo,"Via Clemente Maraini 14A, 6900 Lugano"," Open
 – Closes in an hour",N/A
Un'Idea,"Via Bottogno 2, 6962 Viganello",,N/A
Serenity & Beauty di Greta Tinelli,"Via Cantonale 29, 6815 Melide"," Open by appointment
 – Closes in 2 hours",N/A
Tocco Magico Coiffure - parrucchiere Bellinzona,"Via Camminata 6, 6500 Bellinzona"," Open
 – Closes in an hour",N/A
Maraini Coiffure,"Via Massagno 32, 6900 Lugano",,N/A
Friends Parrucchieri,"Via Carlo Frasca, 6900 Lugano",,N/A
Lo scalpo di Jade Mara,"Via Beltramina 8, 6900 Lugano"," Open
 – Closes in an hour",N/A
MVE Hair Boutuque,"Via Sorengo 9, 6900 Lugano"," Open
 – Closes in 2 hours",N/A
Art-Visage,"Via Cattedrale 4, 6900 Lugano"," Open
 – Closes today at 9:00 PM",N/A
Ayurveda Studio Nadis,"Via Luigi Canonica 12, 6900 Lugano"," Open by appointment
 – Closes in 2 hours",N/A
CR Lab Swiss,"Via Zurigo 38, 6900 Lugano"," Open
 – Closes today at 8:00 PM",N/A
Estetica KAIROS,"Via Lisano 3, 6900 Massagno"," Open
 – Closes today at 9:00 PM",N/A
Estetica Prisca,"Via Gerolamo Vegezzi 4, 6900 Lugano",,N/A
Farmacia della Posta,"Vicolo dei Conti 6, 6932 Breganzona"," Open
 – Closes in an hour",N/A
Fontana Sotheby's International Realty,"Via Giacomo Luvini 4, 6900 Lugano"," Open
 – Closes in 56 minutes",N/A
Istituto Sanders,"Via Pretorio 11, 6900 Lugano"," Open by appointment
 – Closes in 2 hours",N/A
Linea Sana,"Via Pretorio 11, 6900 Lugano"," Open
 – Closes in 2 hours",N/A
Lya Nails Studio,"Via Povrò 5, 6900 Massagno",,N/A
dr. med. Nikolic Nenad,"Viale dei Faggi 20, 6900 Lugano"," Open by appointment
 – Closes in 56 minutes",N/A
Farmacia Contrada dei Patrizi Pregassona,"Via Ceresio 40, 6963 Pregassona"," Open
 – Closes in 2 hours",N/A
Animor Coiffure,"Stráda de Cité 2, 6968 Sonvico",,N/A
Lucienne 3,"Via alle Brughette 2, 6918 Figino"," Open
 – Closes in an hour",N/A
Salone Anymore,"Via Lucia 6, 6965 Cadro",,N/A
Beauty Nails di Manuela Meier,"Via Concordia 2, 6900 Lugano"," Closed
 – Opens tomorrow at 8:00 AM",N/A
Gravity United,"Via Madonnetta 15, 6900 Lugano",,N/A
Lotus Flower Beauty,"Via Cantonale 31, 6815 Melide"," Open
 – Closes in an hour",N/A
PharmaExpress - Farmacia nella Stazione di Lugano,"Piazzale della Stazione 1, 6900 Lugano"," Open
 – Closes today at 10:00 PM",N/A
Swiss Pro Age Medical Services,"Viale dei Faggi 20, 6900 Lugano"," Open by appointment
 – Closes in 56 minutes",N/A
Farmacia Contrada dei Patrizi Viganello,"Via Pazzalino 17, 6962 Viganello"," Open
 – Closes in 2 hours",N/A
ELODIE's Beauty & Hair,"Strada Regina 110A, 6982 Agno"," Open
 – Closes today at 9:00 PM",N/A
Ceresa OTTICA,"Quartiere Maghetti 10, 6900 Lugano"," Open
 – Closes in an hour",N/A
ZOPPIS HAIR STYLING SA,"Via Lugano 1, 6500 Bellinzona"," Open
 – Closes in 26 minutes",N/A
Esco Shop SA,"Via Lugano 1, 6500 Bellinzona"," Open
 – Closes in 26 minutes",N/A
Eric Willimann,"Via Lugano 1, 6988 Ponte Tresa",,N/A
Abitudini di donna,"Via Antonio Bezzola 2, 22061 Campione d'Italia"," Open by appointment
 – Closes in 25 minutes",N/A
Cinquanta sfumature di Piezzi Sheila,"Al Croséll 2, 6673 Maggia"," Closed
 – Opens tomorrow at 7:30 AM",N/A
Salone Oasi,"Piazza colonnello Vicari 12, 6982 Agno",,N/A
Katia,"Via Vedeggio 1, 6928 Manno",,N/A
Team FioLu,"Via Angelo Maspoli 21, 6850 Mendrisio"," Closed
 – Opens tomorrow at 10:00 AM",N/A
I tuoi capelli Sagl,"Via Senago 23, 6915 Pambio-Noranco",,N/A
Tecnoarreda SA,"Via Danas 5, 6929 Gravesano"," Open
 – Closes in an hour",N/A
ClinicAesthetica,"Via Cantonale 2, 6944 Cureglia"," Open by appointment
 – Closes in an hour",N/A
Istituto Lady,"Ai Casgnò 11, 6528 Camorino"," Open
 – Closes in an hour",N/A
CHOICE HEALTH WELLNESS SPA,"Via dei Faggi 6a, 6912 Pazzallo"," Open
 – Closes in 2 hours",N/A
Banfi's44 Barber Shop,"Via Cantonale 32, 6818 Melano"," Open
 – Closes in an hour",N/A
ASTECMA di Corti Dario,"Via Angelo Maspoli 21, 6850 Mendrisio"," Open
 – Closes in an hour",N/A
ESTETICAMENTE,"Via Industria 1A, 6807 Taverne"," Open by appointment
 – Closes in 2 hours",N/A
Villa Santa Maria,"Via Cantonale 15, 6942 Savosa"," Open
 – Closes in 55 minutes",N/A
Glow Beauty GmbH,"St. Johanns-Ring 43, 4056 Basel"," Open
 – Closes in an hour",N/A
Beauty Nails Giubiasco di Manuela Meier,"Via Borghetto 10, 6512 Giubiasco"," Open
 – Closes in an hour",N/A
Zarucchi Sandra,"Via dal Malögin 1, 7516 Maloja"," Open by appointment
 – Closes in 2 hours",N/A
Art Made Tattoo & Beautycenter,"Via Pobbia 24, 6514 Sementina"," Open by appointment
 – Closes in 2 hours",N/A
Farmacia di Agno SA,"Via Lugano 6, 6982 Agno"," Open
 – Closes in an hour",N/A
Casa Andrea Cristoforo,"Strada Collinetta 25, 6612 Ascona"," Open
 – Closes in 25 minutes",N/A
Casa Anziani Malcantonese,"Nucleo Castelrotto 30, 6980 Castelrotto",,N/A
Centro Olistico e Reiki Luisa,"Via Villibaldo Bastoria 15, 6600 Solduno"," Open
 – Closes today at 8:30 PM",N/A
Farmacia Centro Grancia,6916 Grancia," Open
 – Closes today at 9:00 PM",N/A
HERBALIFE,"Via Monte Ceneri 18A, 6512 Giubiasco"," Open by appointment
 – Closes in an hour",N/A
Residenza Visagno,"Int i Vign da Pèr 10, 6702 Claro"," Open
 – Closes in 55 minutes",N/A
Universo Sposa,"Via Campagna 2E, 6512 Giubiasco"," Open
 – Closes in an hour",N/A
